eprof:total_analyse().
FUNCTION                                       CALLS      TIME 
dets:req/2                                     1120606    6 % 
ets:lookup_element/3                           3411496    4 % 
re:run/3                                       492067     3 % 
mnesia_tm:multi_commit/4                       176404     3 % 
dets_server:get_pid/1                          1120606    3 % 
dets:chunk_match/1                             508535     2 % 
dets:foldl_bins/3                              1026170    2 % 
ws1:'-get_urls/3-fun-1-'/3                     488143     2 % 
re:loopexec/6                                  490105     2 % 
mnesia_tm:do_arrange/5                         707615     2 % 
lists:map/2                                    492026     2 % 
mnesia_tm:execute_transaction/5                176404     1 % 
mnesia_tm:arrange/3                            176404     1 % 
mnesia_tm:reverse/1                            352808     1 % 
dets:treq/2                                    610072     1 % 
lists:reverse/1                                1223251    1 % 
erlang:demonitor/1                             1128929    1 % 
erlang:monitor/2                               1128929    1 % 
mnesia_locker:receive_wlocks/4                 352808     1 % 
ws1:'-get_urls/3-fun-0-'/2                     433668     1 % 
ws1:save_url/1                                 433668     1 % 
ets:match_spec_run/2                           517635     1 % 
ets:insert/2                                   884183     1 % 
re:'-postprocess/5-lc$^0/1-0-'/1               490028     1 % 
mnesia_tm:do_commit/3                          176404     1 % 
mnesia_tm:prepare_nodes/5                      352808     1 % 
mnesia:val/1                                   437666     1 % 
mnesia_lib:val/1                               439665     1 % 
mnesia:dirty_rpc/4                             435667     1 % 
mnesia_lib:db_get/2                            433668     1 % 
mnesia:do_dirty_rpc/5                          437666     1 % 
rpc:local_call/3                               437666     1 % 
mnesia_tm:do_update/4                          705616     1 % 
dets:lookup/2                                  433668     1 % 
ws1:check_not_exists/1                         433668     1 % 
mnesia_locker:get_wlocks_on_nodes/5            352808     1 % 
mnesia_locker:wlock/3                          178403     1 % 
mnesia_tm:prepare_items/5                      176404     1 % 
mnesia_log:log/1                               176404     1 % 
mnesia:write_to_store/4                        176404     1 % 
ets:lookup/2                                   705616     1 % 
mnesia_tm:val/1                                352808     1 % 
mnesia_tm:get_elements/2                       352808     1 % 
erlang:setelement/3                            719604     1 % 
mnesia_tm:req/1                                178403     1 % 
mnesia_locker:need_lock/4                      178403     1 % 
mnesia_tm:t_commit/1                           176404     1 % 
ets:next/2                                     531211     1 % 
mnesia_tm:do_update_op/3                       176404     1 % 
mnesia_tm:execute_outer/6                      176404     1 % 
mnesia_tm:prepare_node/5                       352808     1 % 
erlang:binary_to_term/1                        517635     1 % 
mnesia_tm:apply_fun/3                          176404     1 % 
